# WindySail polar — Fountaine Pajot 45 — 2026-07-30
# Dense polar grid. Boat speed in knots.
# First column: TWA (true wind angle, degrees). Header row: TWS (true wind speed, knots).
# Each cell is the boat speed for that (TWA, TWS) pair.
# Re-importable: comment lines (#) and blank lines are ignored.
# HINWEIS: aus Screenshot transkribiert (Original: "Fountaine Pajot 45.txt");
# Zeilenumbrüche der Phone-Darstellung rekonstruiert — vor DB-Import gegen
# Originaldatei verifizieren.
TWA\TWS	4	6	8	10	12	14	16	20	25
0	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
30	1.40	2.60	3.30	3.90	4.20	4.40	4.50	4.50	4.40
40	2.30	3.60	4.60	5.20	5.50	5.80	5.90	5.90	5.80
52	3.00	4.50	5.60	6.30	6.80	7.10	7.30	7.30	7.20
60	3.40	4.90	6.00	6.80	7.30	7.60	7.80	7.80	7.70
75	3.70	5.30	6.50	7.40	7.90	8.30	8.50	8.60	8.50
90	3.90	5.60	6.90	7.80	8.40	8.80	9.10	9.50	9.60
110	3.80	5.50	6.80	7.70	8.30	8.70	9.00	9.70	9.90
120	3.60	5.30	6.50	7.50	8.10	8.50	8.80	9.50	9.80
135	3.20	4.80	5.90	6.80	7.40	7.80	8.10	8.70	9.00
150	2.70	4.10	5.10	5.90	6.50	6.90	7.20	7.70	8.00
165	2.10	3.30	4.20	4.90	5.50	5.80	6.10	6.60	6.90
180	1.50	2.60	3.40	4.10	4.60	5.00	5.20	5.70	6.00
